Feature,Model,MAE,RMSE,Spearman
Time,LSTM,0.199 +/- 0.027,0.231 +/- 0.032,0.367 +/- 0.260
Time,Transformer,0.204 +/- 0.024,0.234 +/- 0.028,0.321 +/- 0.310
Time,latent_ode,0.206 +/- 0.040,0.245 +/- 0.039,0.344 +/- 0.254
Time,TCN,0.230 +/- 0.024,0.270 +/- 0.021,0.395 +/- 0.232
Time,Ridge,0.247 +/- 0.024,0.288 +/- 0.025,0.439 +/- 0.136
Frequency,Transformer,0.185 +/- 0.028,0.219 +/- 0.033,0.731 +/- 0.077
Frequency,LSTM,0.194 +/- 0.059,0.230 +/- 0.073,0.538 +/- 0.376
Frequency,TCN,0.237 +/- 0.041,0.278 +/- 0.046,0.678 +/- 0.278
Frequency,latent_ode,0.260 +/- 0.024,0.296 +/- 0.020,0.480 +/- 0.222
Frequency,Ridge,0.260 +/- 0.031,0.310 +/- 0.035,0.436 +/- 0.165
Wavelet,TCN,0.166 +/- 0.057,0.204 +/- 0.068,0.669 +/- 0.061
Wavelet,LSTM,0.173 +/- 0.053,0.204 +/- 0.061,0.456 +/- 0.099
Wavelet,Transformer,0.211 +/- 0.030,0.246 +/- 0.038,0.395 +/- 0.155
Wavelet,latent_ode,0.246 +/- 0.036,0.280 +/- 0.032,0.346 +/- 0.119
Wavelet,Ridge,0.252 +/- 0.033,0.300 +/- 0.037,0.444 +/- 0.121
Original,Transformer,0.177 +/- 0.038,0.207 +/- 0.045,0.489 +/- 0.166
Original,TCN,0.197 +/- 0.042,0.228 +/- 0.054,0.693 +/- 0.138
Original,LSTM,0.228 +/- 0.030,0.267 +/- 0.041,0.469 +/- 0.168
Original,Ridge,0.268 +/- 0.047,0.317 +/- 0.053,0.487 +/- 0.112
Original,latent_ode,0.282 +/- 0.041,0.320 +/- 0.054,0.545 +/- 0.091
