protocol,model,feature_setting,K,mae_mean,mae_std,rmse_mean,rmse_std,spearman_mean,spearman_std,late_mae_mean,late_mae_std,monotonic_violation_rate_mean,num_splits
cross_condition,LSTM,wavelet_only,40.0,0.18327214579796877,0.04468861871141045,0.21088259046901733,0.053900079778540826,0.40447938146829404,0.2718380093697141,0.1900195932082005,0.05842286443770676,0.48758506552792696,3
cross_condition,TCN,wavelet_only,40.0,0.1888113785628891,0.037802410272960066,0.22138449237168376,0.04687991237611351,0.5600430692675212,0.06025476382686764,0.1792527302566833,0.054644770249998774,0.40995711428821363,3
cross_condition,TCN,raw_waveform,40.0,0.1940851795095615,0.03781139045247466,0.2320053277651314,0.04071772282993123,0.4543139526434068,0.18285976090482914,0.19178648795273154,0.046054562298646795,0.4895764049829205,3
cross_condition,Transformer,wavelet_only,40.0,0.20759583961866537,0.03319266228323428,0.24281637853837845,0.037590284560253116,0.3510293968102051,0.2206974919826236,0.15504168945786959,0.04734816023547357,0.4808967915956586,3
cross_condition,Transformer,raw_waveform,40.0,0.22300153508965725,0.025093949225928516,0.2725093108395708,0.01392534665653129,0.41260801115942997,0.29929993802259053,0.19773458320645287,0.02309645598696386,0.44828967081142385,3
cross_condition,latent_ode,raw_waveform,40.0,0.224784139026612,0.004560803503490998,0.2566211302147364,0.008862991230147875,0.1992525526792118,0.15048870539242976,0.2589999635333826,0.04624508005890655,0.4924722096220389,3
cross_condition,LSTM,raw_waveform,40.0,0.22734631103314729,0.02508926994404775,0.26170918822356054,0.029114996610005783,0.2958483004438477,0.32453521079620007,0.2576076277734902,0.05018441246112591,0.44826707288829565,3
cross_condition,latent_ode,wavelet_only,40.0,0.25374792137258156,0.05031956509619134,0.2863923196525266,0.05071301625613489,0.27466591741279295,0.09790707568025174,0.26825516579268427,0.05192121644006787,0.5209278274276573,3
cross_condition,Ridge,wavelet_only,,0.26961797795241993,0.051649803028931324,0.32421189981280446,0.057457015906074264,0.3241219438118879,0.2857212163583553,0.2665596304820404,0.10914270743689182,0.42771828731089995,3
cross_condition,Ridge,raw_waveform,,0.2753691700339127,0.015580771427058417,0.33757928961097283,0.016429051349722876,0.012889041975518094,0.021135210260264763,0.39322039483523685,0.03631842914660805,0.48777479943307006,3
