model,keep_ratio,mae,rmse,r2
Transformer,1.0,0.2172143852334579,0.26906730316433536,0.06668768333413917
TCN,1.0,0.22212944282960848,0.2756846609008157,-0.0030877087371120604
latent_ode,1.0,0.22769342737652112,0.28837756848588325,-0.06886695715101387
LSTM,1.0,0.25021071985442417,0.3085938394651964,-0.2250275807436806
Transformer,0.7,0.21330521169825856,0.26512066985950283,0.08499772944837909
TCN,0.7,0.2365828954864622,0.28809318565482717,-0.0690895428095429
LSTM,0.7,0.23937765466423813,0.29002997525562185,-0.08735956799898921
latent_ode,0.7,0.24267260442991026,0.29485639016870663,-0.1344967073059354
Transformer,0.5,0.22001360304838632,0.2739608253886796,0.03763899086401501
latent_ode,0.5,0.23471224110420832,0.2950360622765426,-0.13531537078480146
TCN,0.5,0.23927911429948712,0.2877135196258525,-0.07547141230586023
LSTM,0.5,0.24436584810625117,0.29797405481014055,-0.1644233061274221
